ProductID,ProductName,Category,UnitPrice,StockCount,Supplier
2000,Electronics-Nova X Smartphone,Electronics,969.31,123,PrimeGate Procurement
2001,Clothing-Apex Pro Laptop,Clothing,412.35,275,ApexNova Supplies
2002,Clothing-Nova X Smartphone,Clothing,866,354,HorizonWorks Industries
2003,Clothing-Apex Pro Laptop,Clothing,385.18,255,IronBridge Importers
2004,Home-CozyCap Knit Hat,Home,927.25,71,GreenPort Essentials
2005,Home-StrideFlex Sneakers,Home,428.78,345,MetroVale Supply Co.
2006,Clothing-StrideFlex Sneakers,Clothing,198,404,MetroVale Supply Co.
2007,Electronics-ComfyRest Sofa,Electronics,583.39,53,SummitStone Trading
2008,Home-SoftWeave Area Rug,Home,66.59,158,OceanSpan Supply Chain
2009,Clothing-UrbanFit T,Clothing,66.31,342,BlueRiver Distributors
2010,Clothing-Nova X Smartphone,Clothing,77.84,76,MetroVale Supply Co.
2011,Clothing-LumaGlow Floor Lamp,Clothing,409.74,103,OceanSpan Supply Chain
2012,Electronics-StrideFlex Sneakers,Electronics,623.19,314,HorizonWorks Industries
2013,Home-UrbanFit T,Home,935.36,465,AtlasPeak Sourcing
2014,Home-UrbanFit T,Home,246.3,58,VertexOne Global
2015,Clothing-SkyTab Mini Tablet,Clothing,674.97,62,MetroVale Supply Co.
2016,Office-ComfyRest Sofa,Office,323.02,344,MetroVale Supply Co.
2017,Electronics-LumaGlow Floor Lamp,Electronics,463.7,451,ClearWave Enterprises
2018,Electronics-ThermaShell Jacket,Electronics,542.26,199,GreenPort Essentials
2019,Clothing-ErgoLux Office Chair,Clothing,933.93,126,ApexNova Supplies
2020,Clothing-EchoWave Headphones,Clothing,375.83,460,PrimeGate Procurement
2021,Office-SkyTab Mini Tablet,Office,835.41,421,EcoFood Wholesale
2022,Electronics-StrideFlex Sneakers,Electronics,671.18,31,ApexNova Supplies
2023,Electronics-CozyCap Knit Hat,Electronics,939.54,192,OceanSpan Supply Chain
2024,Home-ProDesk Workstation,Home,124.27,323,TerraCore Solutions
2025,Clothing-EchoWave Headphones,Clothing,279.62,280,ClearWave Enterprises
2026,Home-SkyTab Mini Tablet,Home,211.56,260,IronBridge Importers
2027,Office-Storify Bookshelf,Office,258.61,72,SummitStone Trading
2028,Electronics-UrbanFit T,Electronics,637.94,94,QuantumEdge Traders
2029,Electronics-ComfyRest Sofa,Electronics,13.51,59,ZenithFlow Materials
2030,Home-PrintPro Laser Printer,Home,169.97,471,GreenPort Essentials
2031,Office-EchoWave Headphones,Office,565.3,36,QuantumEdge Traders
2032,Electronics-Nova X Smartphone,Electronics,945.6,28,MetroVale Supply Co.
2033,Electronics-ComfyRest Sofa,Electronics,836.25,254,ZenithFlow Materials
2034,Office-ProDesk Workstation,Office,136.17,93,IronBridge Importers
2035,Home-EchoWave Headphones,Home,899.99,378,ApexNova Supplies
2036,Home-EchoWave Headphones,Home,217.98,56,Zero Supplies
2037,Electronics-SnapBind Stapler,Electronics,360.14,263,HorizonWorks Industries
2038,Clothing-LumaGlow Floor Lamp,Clothing,926.51,445,SilverPoint Logistics
2039,Clothing-OakLine Coffee Table,Clothing,976.44,93,SummitStone Trading
2040,Office-EchoWave Headphones,Office,34.54,136,NorthStar Components
2041,Office-StrideFlex Sneakers,Office,804.21,151,SummitStone Trading
2042,Home-ThermaShell Jacket,Home,167.61,330,TerraCore Solutions
2043,Office-ProDesk Workstation,Office,873.45,357,EcoFood Wholesale
2044,Clothing-ProDesk Workstation,Clothing,207.58,89,NorthStar Components
2045,Home-ComfyRest Sofa,Home,312.14,122,BlueRiver Distributors
2046,Clothing-ErgoLux Office Chair,Clothing,33.43,322,QuantumEdge Traders
2047,Office-UrbanFit T,Office,334.98,490,MetroVale Supply Co.
2048,Home-OakLine Coffee Table,Home,357.63,346,HorizonWorks Industries
2049,Home-CozyCap Knit Hat,Home,939.84,337,VertexOne Global
2050,Home-PrintPro Laser Printer,Home,186.78,260,ZenithFlow Materials
2051,Electronics-LumaGlow Floor Lamp,Electronics,117.32,409,VertexOne Global
2052,Home-Storify Bookshelf,Home,731.26,356,MetroVale Supply Co.
2053,Office-OakLine Coffee Table,Office,610.15,288,BlueRiver Distributors
2054,Office-Nova X Smartphone,Office,900.51,440,ClearWave Enterprises
2055,Home-Storify Bookshelf,Home,53.94,305,Zero Supplies
2056,Electronics-ErgoLux Office Chair,Electronics,524.72,181,NorthStar Components
