productid,productname,category,unitprice,stockcount,supplier
2000,Electronics-Be,Electronics,969.31,123,PrimeGate Procurement
2001,Electronics-Be,Clothing,412.35,275,ApexNova Supplies
2002,Office-Family,Clothing,866.0,354,HorizonWorks Industries
2003,Electronics-Training,Clothing,385.18,255,IronBridge Importers
2004,Office-Where,Home,927.25,71,GreenPort Essentials
2005,Office-Huge,Home,428.78,345,MetroVale Supply Co.
2006,Office-Class,Clothing,198.0,404,MetroVale Supply Co.
2007,Clothing-Over,Electronics,583.39,53,SummitStone Trading
2008,Electronics-Skin,Home,66.59,158,OceanSpan Supply Chain
2009,Office-Raise,Clothing,66.31,342,BlueRiver Distributors
2010,Electronics-Themselves,Clothing,77.84,76,MetroVale Supply Co.
2011,Electronics-Religious,Clothing,409.74,103,OceanSpan Supply Chain
2012,Clothing-Artist,Electronics,623.19,314,HorizonWorks Industries
2013,Office-Cultural,Home,935.36,465,AtlasPeak Sourcing
2014,Clothing-Eat,Home,246.3,58,VertexOne Global
2015,Office-Itself,Clothing,674.97,62,MetroVale Supply Co.
2016,Home-He,Office,323.02,344,MetroVale Supply Co.
2017,Electronics-Feeling,Electronics,463.7,451,ClearWave Enterprises
2018,Electronics-Nature,Electronics,542.26,199,GreenPort Essentials
2019,Home-History,Clothing,933.93,126,ApexNova Supplies
2020,Electronics-Share,Clothing,375.83,460,PrimeGate Procurement
2021,Clothing-Skill,Office,835.41,421,EcoFood Wholesale
2022,Home-Economy,Electronics,671.18,31,ApexNova Supplies
2023,Home-Yeah,Electronics,939.54,192,OceanSpan Supply Chain
2024,Clothing-Paper,Home,124.27,323,TerraCore Solutions
2025,Electronics-Assume,Clothing,279.62,280,ClearWave Enterprises
2026,Clothing-Use,Home,211.56,260,IronBridge Importers
2027,Home-Purpose,Office,258.61,72,SummitStone Trading
2028,Electronics-Take,Electronics,637.94,94,QuantumEdge Traders
2029,Home-Yourself,Electronics,13.51,59,ZenithFlow Materials
2030,Clothing-First,Home,169.97,471,GreenPort Essentials
2031,Office-Develop,Office,565.3,36,QuantumEdge Traders
2032,Electronics-There,Electronics,945.6,28,MetroVale Supply Co.
2033,Clothing-Argue,Electronics,836.25,254,ZenithFlow Materials
2034,Clothing-Feel,Office,136.17,93,IronBridge Importers
2035,Home-According,Home,899.99,378,ApexNova Supplies
